industry,stock_code,stock_name,begin,is_end
采掘,SZ000159,国际实业,2011/1/10 0:10,N
采掘,SZ000552,靖远煤电,2008/6/2 0:00,N
采掘,SZ000571,新大洲A,2011/10/10 0:00,N
采掘,SZ000629,*ST钒钛,2015/10/31 0:00,N
采掘,SZ000655,金岭矿业,2015/10/31 0:00,N
采掘,SZ000723,美锦能源,2008/6/2 0:00,N
采掘,SZ000762,西藏矿业,2008/6/2 0:00,N
采掘,SZ000780,*ST平能,2016/9/14 0:00,N
采掘,SZ000937,冀中能源,2016/9/14 0:00,N
采掘,SZ000968,蓝焰控股,2016/9/14 0:00,N
采掘,SZ000983,西山煤电,2016/9/14 0:00,N
采掘,SZ002128,露天煤业,2008/6/2 0:00,N
采掘,SZ002207,*ST准油,2016/4/14 0:00,N
采掘,SZ002554,惠博普,2015/1/30 0:07,N
采掘,SZ002629,仁智股份,2011/10/26 0:00,N
采掘,SZ002738,中矿资源,2014/12/19 0:00,N
采掘,SZ002828,贝肯能源,2016/12/5 11:30,N
采掘,SZ300157,恒泰艾普,2016/4/14 0:00,N
采掘,SZ300164,通源石油,2016/4/14 0:00,N
采掘,SZ300191,潜能恒信,2016/4/14 0:00,N
采掘,SH600121,*ST郑煤,2008/6/2 0:00,N
采掘,SH600123,兰花科创,2008/6/2 0:00,N
采掘,SH600157,永泰能源,2016/9/20 9:23,N
采掘,SH600188,兖州煤业,2016/9/14 0:00,N
采掘,SH600193,创兴资源,2013/7/1 0:00,N
采掘,SH600295,鄂尔多斯,2016/8/15 0:00,N
采掘,SH600339,中油工程,2017/6/29 0:00,N
采掘,SH600348,阳泉煤业,2016/9/14 0:00,N
采掘,SH600395,盘江股份,2016/9/14 0:00,N
采掘,SH600397,安源煤业,2015/10/16 0:00,N
采掘,SH600403,*ST大有,2015/10/16 0:00,N
采掘,SH600408,安泰集团,2008/6/2 0:00,N
采掘,SH600508,上海能源,2008/6/2 0:00,N
采掘,SH600532,宏达矿业,2011/10/10 0:00,N
采掘,SH600546,山煤国际,2016/9/14 0:00,N
采掘,SH600583,海油工程,2015/8/14 0:00,N
采掘,SH600652,游久游戏,2015/1/1 0:07,N
采掘,SH600725,ST云维,2017/6/29 0:00,N
采掘,SH600740,山西焦化,2008/6/2 0:00,N
采掘,SH600758,红阳能源,2017/6/29 0:00,N
采掘,SH600759,洲际油气,2015/8/14 0:00,N
采掘,SH600777,新潮能源,2017/6/29 0:00,N
采掘,SH600792,云煤能源,2015/10/16 0:00,N
采掘,SH600871,石化油服,2015/8/14 0:00,N
采掘,SH600971,恒源煤电,2008/6/2 0:00,N
采掘,SH600997,开滦股份,2016/9/14 0:00,N
采掘,SH601001,大同煤业,2008/6/2 0:00,N
